Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Custodial Services at the Watson Lake Weigh Statn,ANDY MOSKALUK O/A,"$8,400.00",2009-04-01,C00000598,2,,,Highways & Public Works,Service,Value Driven,Watson Lake,I,2011-12
"Custodial Services, Property MD Office 2009-2010",CHIEF ISAAC INCORPORATED,"$4,337.00",2009-04-01,C00000599,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
"Custodial Services, Property MD Office 2009-2010",CHIEF ISAAC INCORPORATED,-$361.34,2009-04-01,C00000599,3,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Custodial Services Visitor's Information Centre,CHIEF ISAAC INCORPORATED,"$22,530.00",2009-04-01,C00000600,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Custodial Services Visitor's Information Centre,CHIEF ISAAC INCORPORATED,"-$6,630.00",2009-04-01,C00000600,3,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Computer Application Maintenance,33060 YUKON INC,$0.00,2009-05-25,C00001073,3,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Independent Commissiong at Erik Nielsen Airport,ROY WHITEN O/A,$0.00,2009-04-01,C00001059,3,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2011-12
Independent Commissiong at Erik Nielsen Airport,ROY WHITEN O/A,$0.00,2009-04-01,C00001059,4,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2011-12
Custodial Services,ANDY MOSKALUK O/A,"$11,400.00",2009-06-01,C00001008,2,,,Highways & Public Works,Service,Value Driven,Watson Lake,I,2011-12
Custodial Servcies & Lawn Maintenance WL Info Cent,DARRELL BAUMAN O/A,$1.00,2009-05-06,C00001098,2,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Custodial Servcies & Lawn Maintenance WL Info Cent,DARRELL BAUMAN O/A,"$10,848.00",2009-05-06,C00001098,3,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Custodial Servcies & Lawn Maintenance WL Info Cent,DARRELL BAUMAN O/A,"-$2,080.00",2009-05-06,C00001098,4,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Custodial Services at the WL Fire Centre,DARRELL BAUMAN O/A,$0.00,2009-05-01,C00000894,3,,,Highways & Public Works,Service,Value Driven,Watson Lake,I,2011-12
Custodial Services at the WL Fire Centre,DARRELL BAUMAN O/A,"$3,439.00",2009-05-01,C00000894,4,,,Highways & Public Works,Service,Value Driven,Watson Lake,I,2011-12
Maintenance Support Services Com Radio & TV System,TOTAL NORTH COMMUNICATIONS LTD,"$120,000.00",2009-04-01,C00000670,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Grounds and lawn maintenance in Dawson City,BRENT MCDONALD O/A OLD MAN,"$21,831.00",2009-05-11,C00000821,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Webhosting,POLAR GROUP ICT INC. O/A,$0.00,2009-12-01,C00002119,2,,,Legislative Assembly,Service,Value Driven,Whitehorse,D,2011-12
Complete up to 5 Farm Business Assessments,LARRY LINDQUIST,$0.00,2009-12-01,C00002058,1,,ABPAS-AG-01,"Energy, Mines & Resources",General Consulting,Value Driven,Whitehorse,D,2011-12
Create Design of Original & Vector Logo Ghuch Tla,MARK CUNNINGHAM &,$0.00,2009-10-30,C00001909,2,,,Education,Service,Price Driven,Whitehorse,D,2011-12
Additional Soil Sampling KDFN Waterfront Property,EBA ENGINEERING,$0.00,2009-10-05,C00001877,6,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Groundwater Plume Delineation KDFN Waterfront Remd,EBA ENGINEERING,$0.00,2009-10-08,C00001878,3,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Services to Yukon Child Care Board,SOPHIE B PARTRIDGE O/A,$230.00,2010-04-01,C00002744,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Community Aerodrome Radio Station Servcies,DEBRA BLATTLER,"$409,893.12",2010-04-01,C00002753,Original,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2011-12
Airport Maintainer Servcies,DEBRA BLATTLER,"$18,632.00",2010-04-01,C00002754,Original,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2011-12
Court Circuit Hall Rental for 2010/2011,TOWN OF FARO,$425.00,2010-04-01,C00002684,1,,,Justice,Service,Value Driven,Faro,D,2011-12
HRMS Attendance Management,39396 YUKON INC,$0.00,2010-03-01,C00002699,1,,,Public Service Commission,Service,Value Driven,Whitehorse,I,2011-12
HRMS Attendance Management,39396 YUKON INC,"$1,200.00",2010-03-01,C00002699,2,,,Public Service Commission,Service,Value Driven,Whitehorse,I,2011-12
Medical Advisor-Disputed Claims,DR. JAMES O'CARROLL,"-$7,906.65",2010-04-01,C00002760,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Waste Removal Whitehorse Weigh Station,TLE NAX T AWEI INC O/A,"$3,118.44",2010-04-01,C00002637,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,I,2011-12
Delivery of computer classes,STEFAN GOTTERMANN O/A,$0.00,2010-04-01,C00002651,1,,SDB-26,Public Service Commission,Service,Value Driven,Whitehorse,P,2011-12
Business Opportunities Assessment,DAVID BAZOWSKI,$0.00,2010-02-16,C00002580,1,,,Economic Development,Service,Value Driven,Whitehorse,D,2011-12
Cusodial Services at #2 & #4 Hospital Road,MARIA T & BAU HUU DAO O/A,"$29,000.00",2010-01-04,C00002733,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,I,2011-12
Northern Lights Centre Solar PV Design Install,HOWELL MAYHEW ENGINEERING INC,"$6,584.84",2010-03-01,C00002548,2,,,"Energy, Mines & Resources",Service,Value Driven,Watson Lake,D,2011-12
Canon iR 2880i Service Legislative Assembly,TLE'NAX T'AWEI INC O/A,$322.57,2010-04-01,C00002412,1,,,Legislative Assembly,Service,Value Driven,Whitehorse,D,2011-12
Fac of Yk Gov Retirement Courses SS08103259-55303,FERNWOOD CONSULTING GROUP INC,"$19,500.00",2010-04-01,C00003060,1,,,Public Service Commission,Service,Value Driven,Whitehorse,P,2011-12
Glacier Acres Surface Water Diversion,YUKON ENGINEERING SERVICES INC,$0.00,2010-04-12,C00003237,1,,,Community Services,Service,Price Driven,Destruction Bay,D,2011-12
HRMS PeopleSoft System Consulting & Support,38593 YUKON INC O/A,$0.00,2010-04-01,C00003187,1,,,Public Service Commission,Service,Value Driven,Whitehorse,I,2011-12
Waste management for Whitehorse area schools,TLE NAX T AWEI INDUSTRIAL LTD,$700.00,2010-04-01,C00003177,1,,,Education,Service,Price Driven,Whitehorse,P,2011-12
Technical Advisory Services Farol Mine Complex,LESLIE GOMM O/A GOMM,$0.00,2010-04-01,C00003189,1,,AAMB 08-108,"Energy, Mines & Resources",General Consulting,Value Driven,Other,P,2011-12
Technical Advisory Services Farol Mine Complex,LESLIE GOMM O/A GOMM,$0.00,2010-04-01,C00003189,2,,AAMB 08-108,"Energy, Mines & Resources",General Consulting,Value Driven,Other,P,2011-12
Pest control services,PCO SERVICES INC,"$52,000.00",2010-04-01,C00003017,1,,,Highways & Public Works,Service,Value Driven,Whitehorse,I,2011-12
Provide Alarm Monitoring of the NAPS Home,SPECTRUM SECURITY SOUND LTD,$0.00,2010-04-01,C00003071,4,,,Environment,Service,Price Driven,Whitehorse,D,2011-12
Custodial Services at Dawson City Airport,JOHN T BROOKS O/A,"$13,275.00",2010-04-01,C00003026,1,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2011-12
Water Quality Monitoring,EDI-ENVIRONMENTAL DYNAMICS INC,$222.50,2010-04-01,C00003027,1,,,"Energy, Mines & Resources",General Consulting,Value Driven,Whitehorse,P,2011-12
English Summaries of French Media,ANGELIQUE BERNARD,$164.50,2010-04-06,C00003204,1,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Janitorial Services for EMO,GARRY SETERENGEN O/A,$800.00,2010-04-01,C00003206,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Maintenance for the Development Assessment Review,38593 YUKON INC O/A,$488.32,2010-04-01,C00003078,4,,,Executive Council Office,Service,Price Driven,Whitehorse,D,2011-12
"Custodial Services,  Whitehorse Public Library",M ADIL KHALIK O/A,"$2,479.19",2010-04-01,C00003209,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
"Custodial Services,  Whitehorse Public Library",M ADIL KHALIK O/A,-$354.17,2010-04-01,C00003209,2,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Poundskeeper Services District 4 Whse/Takhini,PAUL HEYNEN,"$1,368.37",2010-04-01,C00003214,6,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2011-12
Business Requirements Documents for ASU & FCS,MICHAEL G TRIBES,$0.00,2010-04-01,C00003091,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Wind Monitoring Kathleen Lake Lodge,JEAN PAUL PINARD O/A,"$24,900.00",2010-04-01,C00003149,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2011-12
Provide Chlorination Testing & Back Flushing Serv,WENDI DAWSON,"$2,500.00",2010-04-01,C00003159,1,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Custodial Services Initial Attack Base,15042 YUKON INC,"$6,350.00",2010-04-01,C00003231,1,,,Highways & Public Works,Service,Price Driven,Haines Junction,P,2011-12
Continued Work of Assessment & Abandoned Mines,DIEDRE DAVIDSON O/A,$0.00,2010-04-01,C00002881,2,,,"Energy, Mines & Resources",General Consulting,Value Driven,Whitehorse,D,2011-12
Carcross Water Delivery,YUKON WATER SERVICES 1989 LTD,"$253,896.24",2010-04-01,C00002888,Original,,,Community Services,Service,Price Driven,Carcross,P,2011-12
Carcross Water Delivery,YUKON WATER SERVICES 1989 LTD,"$7,020.00",2010-04-01,C00002888,1,,,Community Services,Service,Price Driven,Carcross,P,2011-12
Carcross Water Delivery,YUKON WATER SERVICES 1989 LTD,"$35,734.03",2010-04-01,C00002888,2,,,Community Services,Service,Price Driven,Carcross,P,2011-12
North Yk Business Advisory Serv GN08078006-55689,DANA NAYE VENTURES,"-$50,236.73",2010-04-01,C00002957,1,,,Economic Development,Service,Value Driven,Whitehorse,P,2011-12
Monitoring / Moving Inventory / Stor for Foster Cr,PACIFIC NORTHWEST MOVING,"-$4,092.65",2010-04-01,C00002958,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
To Supply Catering & Maint Services Tuchitua,TONY & PHYLLIS WENTWORTH O/A,$486.75,2010-04-01,C00002768,2,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Organic Soil Lab Analysis & Recommendations,KINSEY AGRICULTURAL,$0.00,2010-04-01,C00002848,1,,,"Energy, Mines & Resources",Service,Value Driven,Other-Non Yukon,D,2011-12
Congenital Anomalies Survellance Info Analysis,SHANNON RYAN O/A,$0.00,2010-02-05,C00002867,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
SS09555000-57862 Install YG Mobile Radio Equip,NORTHERN AVCOM LTD,"$275,000.00",2010-04-01,C00002933,1,,,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Snow Removal WL Hospital SS09556724-59804,16142 YUKON INC,$245.00,2010-04-01,C00003627,1,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Snow Removal WL Hospital SS09556724-59804,16142 YUKON INC,"$3,530.00",2010-04-01,C00003627,2,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Snow Removal WL Hospital SS09556724-59804,16142 YUKON INC,"$4,555.00",2010-04-01,C00003627,3,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2011-12
Design & Construction of CBSA Housing Pleasant Cp,TSL CONTRACTORS LTD,"$85,228.81",2010-04-15,C00003521,3,,,Highways & Public Works,Construction,Price Driven,Other-Non Yukon,P,2011-12
Prov of Methadone Clinics and Special Expertise,DR R BAMFORD PROFESSIONAL CORP,"$3,568.00",2010-04-01,C00003659,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Eddon Commercial Cleaning,CLAYTON LEGGET & JUDY DUNCAN,"$4,500.00",2010-04-01,C00003602,1,,,Highways & Public Works,Service,Price Driven,Carcross,D,2011-12
Paper Recyling Servcies for Dawson Mining Office,CONSERVATION KLONDIKE SOCIETY,"$1,000.00",2010-04-01,C00003491,Original,,,"Energy, Mines & Resources",Service,Value Driven,Dawson City,D,2011-12
Provision of Analytical Servcies,AGAT LABORATORIES,"$35,513.00",2010-04-26,C00003537,1,,,Environment,Service,Price Driven,Other-Non Yukon,I,2011-12
Provision of Analytical Servcies,AGAT LABORATORIES,"$60,000.00",2010-04-26,C00003537,2,,,Environment,Service,Price Driven,Other-Non Yukon,I,2011-12
Custodial Services at 5663 and 5631 Mayo,TERRANCE BROWN,"$11,950.00",2010-04-01,C00003682,1,,,Highways & Public Works,Service,Price Driven,Mayo,I,2011-12
Cleaning Contract Education SS09556618-588884,MARIA T & BAU HUU DAO O/A,"$41,940.00",2010-04-01,C00003515,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Whistle Bend Way Connector Detailed Engineering,42256 YUKON INC O/A,$0.00,2010-04-30,C00003564,4,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2011-12
Whistle Bend Way Connector Detailed Engineering,42256 YUKON INC O/A,"$4,037.75",2010-04-30,C00003564,5,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2011-12
Laboratory Water Analysis,CARO ANALYTICAL SERVICES,$0.00,2010-04-20,C00003402,1,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
"Mosquito Control Program for 2010, 2011, 2012",DG REGAN & ASSOCIATES LTD,$530.85,2010-04-01,C00003410,1,,,Community Services,Service,Value Driven,Other,P,2011-12
Security Services - Alarm Call Outs,SECURITY SERVICES YUKON LTD,$160.00,2010-04-01,C00003312,1,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Production Services for Regulations of the Yukon.,AASMAN DESIGN INC,$0.00,2010-04-01,C00003360,1,,E7039,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Production Services for Regulations of the Yukon.,AASMAN DESIGN INC,$0.00,2010-04-01,C00003360,2,,E7039,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Production Services for Regulations of the Yukon.,AASMAN DESIGN INC,"$47,000.00",2010-04-01,C00003360,3,,E7039,Highways & Public Works,Service,Value Driven,Whitehorse,P,2011-12
Eng Consulting Serv for Old Crow Drinking Water,5107 NWT LIMITED O/A,"$150,330.87",2010-01-13,C00003319,3,,,Community Services,Engineering/Architectural,Value Driven,Old Crow,P,2011-12
Eng Consulting Serv for Old Crow Drinking Water,5107 NWT LIMITED O/A,"$55,905.63",2010-01-13,C00003319,4,,,Community Services,Engineering/Architectural,Value Driven,Old Crow,P,2011-12
Eng Consulting Serv for Old Crow Drinking Water,5107 NWT LIMITED O/A,$0.00,2010-01-13,C00003319,5,,,Community Services,Engineering/Architectural,Value Driven,Old Crow,P,2011-12
Eng Consulting Serv for Old Crow Drinking Water,5107 NWT LIMITED O/A,"$17,600.00",2010-01-13,C00003319,6,,,Community Services,Engineering/Architectural,Value Driven,Old Crow,P,2011-12
Custodial & Garbage Removal RR Air Terminal Bld,JAMES A CHAPMAN O/A,"$1,980.00",2010-04-01,C00003428,1,,,Highways & Public Works,Service,Price Driven,Ross River,I,2011-12
Eng Consulting Serv for Old Crow Drinking Water,5107 NWT LIMITED O/A,$0.00,2010-01-13,C00003319,7,,,Community Services,Engineering/Architectural,Value Driven,Old Crow,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$257,815.03",2010-05-17,C00003322,2,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Load and Transport Recyclables Haines Junction Dep,TLE NAX T AWEI INC O/A,$0.00,2010-04-26,C00003371,1,,,Environment,Service,Price Driven,Haines Junction,P,2011-12
Garbage Collection Ross River School,JAMES A CHAPMAN O/A,"$3,120.00",2010-04-01,C00003429,1,,,Highways & Public Works,Service,Price Driven,Ross River,I,2011-12
Garbage Collection Ross River School,JAMES A CHAPMAN O/A,$240.00,2010-04-01,C00003429,2,,,Highways & Public Works,Service,Price Driven,Ross River,I,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$3,160,719.90",2010-05-17,C00003322,3,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$130,800.00",2010-05-17,C00003322,4,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$2,601.05",2010-05-17,C00003322,5,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$1,096.52",2010-05-17,C00003322,6,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$1,902.54",2010-05-17,C00003322,7,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$212,165.47",2010-05-17,C00003322,8,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Loading & Transporting Recyclables Dawson,TLE NAX T AWEI INC O/A,$0.00,2010-04-26,C00003373,1,,,Environment,Service,Price Driven,Dawson City,P,2011-12
bearpaw,CATHY ISAAC O/A,$500.00,2010-04-01,C00003440,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Tipping Fees at the Whitehorse Landfill,CITY OF WHITEHORSE,$575.48,2010-04-01,C00003277,2,,,Community Services,Service,Price Driven,Whitehorse,D,2011-12
Maintenance of Beaver Creek & Horsecamp Hill,STEVE & PATTI CROSS O/A,$88.00,2010-04-01,C00003374,2,,,Community Services,Service,Price Driven,Beaver Creek,D,2011-12
Collection of Water Samples for Testing,GRANT LUNDY O/A,"$24,323.64",2010-04-01,C00003325,1,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Collection of Water Samples for Testing,GRANT LUNDY O/A,"-$24,323.64",2010-04-01,C00003325,2,,,Highways & Public Works,Service,Price Driven,Other,P,2011-12
Independent Medical Evaluations,MEDISYS CORPORATE HEALTH LP,"$5,212.85",2010-04-01,C00003445,2,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Light Duty Trucks for Transportation Engineering,NORCAN LEASING LTD,$557.69,2010-03-01,C00003286,3,,,Highways & Public Works,Vehicle Rental,Price Driven,Whitehorse,P,2011-12
"Commisioner, Judical Compensation Commission",PATRICK MICHAEL,"$24,999.99",2010-04-01,C00003329,Original,,,Justice,Service,Value Driven,Whitehorse,D,2011-12
"Commisioner, Judical Compensation Commission",PATRICK MICHAEL,"$4,800.01",2010-04-01,C00003329,1,,,Justice,Service,Value Driven,Whitehorse,D,2011-12
Licensed RN Serv to Physician for MethadoneClinic,SEAN R HOPKINS,"$1,735.00",2010-04-01,C00003387,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Biofuel Cost Study,STEVE SPALDING,$0.00,2010-04-16,C00003392,1,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2011-12
"Grass Cutting-Various Buildings, Mayo",IAN SPENCER,"$8,300.00",2010-05-14,C00004109,1,,,Highways & Public Works,Service,Price Driven,Mayo,I,2011-12
Pelly River Bridge Repainting km462.1 Klondike Hwy,CLARA INDUSTRIAL SERVICES,"-$84,298.37",2010-05-10,C00003984,2,,,Highways & Public Works,Construction,Price Driven,Pelly Crossing,P,2011-12
Destruction Bay Septic/Sewage Analysis,EBA ENGINEERING,$0.00,2010-05-21,C00004048,2,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,D,2011-12
Annual Testing Inspections and Services of Lifts,THYSSENKRUPP ELEVATOR CANADA,"$4,656.00",2010-06-01,C00004049,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,I,2011-12
Elevator Servicing - YG Buildings SS09556611-58835,THYSSENKRUPP ELEVATOR CANADA,"$16,450.00",2010-06-01,C00004050,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2011-12
Elevator Servicing - YG Buildings SS09556611-58835,THYSSENKRUPP ELEVATOR CANADA,"$22,265.55",2010-06-01,C00004050,2,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2011-12
Medical Care to Patients at Copper Ridge & Mac Ldg,QUONG & DALINGHAUS,"$304,417.00",2010-04-01,C00003907,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Commissioning for New YGS/FMB Research/Storage,ROY WHITEN O/A,"-$39,780.00",2010-04-26,C00003950,1,,,Highways & Public Works,Construction,Value Driven,Whitehorse,D,2011-12
Judicial Pension Plan general consulting,AON REED STENHOUSE INC O/A,"$3,445.40",2010-04-01,C00004008,1,,,Public Service Commission,General Consulting,Value Driven,Whitehorse,D,2011-12
Provision of Medical  Specialist Services,BARBARA ROMANOWSKI,$418.00,2010-04-01,C00003909,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Good Energy Campaign,AASMAN DESIGN INC,$511.62,2010-05-01,C00004066,2,,3990,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,P,2011-12
Group Benefits consulting services,AON REED STENHOUSE INC O/A,"$19,776.31",2010-04-01,C00004010,1,,,Public Service Commission,General Consulting,Value Driven,Whitehorse,D,2011-12
Willow Acres Subdivision Expansion Surface Works,14899 YUKON INC O/A,$0.00,2010-05-13,C00003916,2,,,Community Services,Construction,Value Driven,Haines Junction,P,2011-12
Willow Acres Subdivision Expansion Surface Works,14899 YUKON INC O/A,"$5,113.27",2010-05-13,C00003916,3,,,Community Services,Construction,Value Driven,Haines Junction,P,2011-12
Geotechnical Testing Ross River Bridge Towers,EBA ENGINEERING,$0.00,2010-05-25,C00004018,1,,,Community Services,Service,Value Driven,Ross River,D,2011-12
Lawn and Grounds Maintenance,HOTTE LANDSCAPING LTD,"$14,946.00",2010-05-25,C00004076,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2011-12
Dental treatment and examinations,AMANDA SINCLAIR PROFESSIONAL,"$4,500.00",2010-04-01,C00004082,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Land Disposal Fee's,CITY OF WHITEHORSE,"-$3,274.23",2010-04-01,C00003927,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
"Survey Administration, Data Analysis & Reporting",IPSOS REID LP,"$76,770.00",2010-04-01,C00004084,1,,,Public Service Commission,Service,Value Driven,Other-Non Yukon,P,2011-12
Database maintenance for FMB Monitoring Database,38593 YUKON INC O/A,$0.00,2010-05-01,C00003931,1,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2011-12
Mayo Water Upgrades-Water System Review and Assess,QUEST ENGINEERING GROUP INC,$0.00,2010-05-19,C00004028,2,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,D,2011-12
Cleaning Serivces for EMR District Office,MICHAEL MISKELL O/A TO THE T,"$8,000.00",2010-06-01,C00004031,Original,,,Highways & Public Works,Service,Price Driven,Teslin,D,2011-12
Cleaning Serivces for EMR District Office,MICHAEL MISKELL O/A TO THE T,"$6,692.04",2010-06-01,C00004031,1,,,Highways & Public Works,Service,Price Driven,Teslin,D,2011-12
Attend/Participate in Hearings-Care Consent Act,DR. NGOZI IKEJI O/A,"$75,000.00",2010-04-01,C00004095,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Attend/Participate in Hearings-Care Consent Act,DR. NGOZI IKEJI O/A,"-$15,899.90",2010-04-01,C00004095,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Provision of First Aid Training,YUKON COLLEGE,$0.00,2010-05-19,C00003976,1,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Provision of First Aid Training,YUKON COLLEGE,"-$2,835.00",2010-05-19,C00003976,2,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Pelly River Bridge Repainting km462.1 Klondike Hwy,CLARA INDUSTRIAL SERVICES,"-$52,020.00",2010-05-10,C00003984,1,,,Highways & Public Works,Construction,Price Driven,Pelly Crossing,P,2011-12
Detailed Engineering Design Whistle Bend Sub,ASSOCIATED ENGINEERING,"$108,909.20",2010-04-01,C00003901,2,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2011-12
Detailed Engineering Design Whistle Bend Sub,ASSOCIATED ENGINEERING,"$25,168.60",2010-04-01,C00003901,3,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2011-12
Solid Waste Facility Attendants Carcross & Tagish,GEORGE WHITE O/A,"$166,400.00",2010-05-10,C00003801,Original,,,Community Services,Service,Price Driven,Whitehorse,P,2011-12
Detailed Engineering Design Whistle Bend Sub,ASSOCIATED ENGINEERING,"$142,797.00",2010-04-01,C00003901,4,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2011-12
