Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
PEST CONTROL SERVICES,ORKIN CANADA CORPORATION,$750.00,2024-04-01,C00076023,3,,,Education,Environmental Services/ studies,Price Driven,Whitehorse,D,2025-26
PEST CONTROL SERVICES,ORKIN CANADA CORPORATION,"$21,875.00",2024-04-01,C00076023,4,,,Education,Environmental Services/ studies,Price Driven,Whitehorse,D,2025-26
PEST CONTROL SERVICES,ORKIN CANADA CORPORATION,"$9,855.00",2024-04-01,C00076023,5,,,Education,Environmental Services/ studies,Price Driven,Whitehorse,D,2025-26
Ogilvie Grader Station Boiler Replacement,43862 YUKON INC,"-$50,000.00",2024-02-12,C00075689,2,,,Highways & Public Works,Construction - utilities / infrastructure maintenance,Request for Bids,Dawson City,O,2025-26
Whitehorse Gymnastics and Climbing Facility Propane Install,SUPERIOR PROPANE INC,$0.00,2024-03-15,C00075948,1,,5425,Community Services,Construction - utilities / infrastructure new,Standing Offer Agreement (RFP),Whitehorse,O,2025-26
Asset Management Consulting Services,WSP CANADA INC,$0.00,2024-04-01,C00075998,1,,SOA-RSO - RFP-2023-6-2711,Highways & Public Works,Professional Services - others,Standing Offer Agreement (RFP),Whitehorse,O,2025-26
"Carmacks, Faro & Mayo Developments - Communications Services",NORTHWESTEL INC,$0.00,2024-03-05,C00075914,1,,,Community Services,Construction - utilities / infrastructure new,Price Driven,Other,D,2025-26
PMD Photocopier Maintenance,TLE'NAX T'AWEI INC O/A,$154.39,2024-04-01,C00076008,3,,,Highways & Public Works,Printing services,Value Driven,Whitehorse,D,2025-26
Student Transportation - Whitehorse Area Schools,STANDARD BUS CONTRACTING LTD,"$157,425.98",2024-07-01,C00075923,1,,,Education,Education related services,Request for Bids,Whitehorse,O,2025-26
Electrical Maintenance,535649 YUKON INC,"$12,000.00",2024-04-01,C00076126,2,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Yukon LMDA and WDA Audit 2022/2023,CROWE MACKAY LLP,$0.00,2024-02-11,C00075799,3,,,Economic Development,"Actuarial, Accounting, Financial Services",Price Driven,Whitehorse,D,2025-26
Provide management of the complete Hansard System,840884 YUKON INC O/A,$15.00,2023-11-01,C00074475,3,,,Legislative Assembly,Goods - Software/IT,Price Driven,Whitehorse,D,2025-26
Energy Mines and Resources (EMR) Compound - Stormwater Drain,COPPERBELT ENGINEERING LTD,$0.00,2023-11-01,C00074571,1,,,Highways & Public Works,Construction - building maintenance,Price Driven,Whitehorse,D,2025-26
SEPTIC - Remaining Works,GRANICUS CANADA HOLDINGS ULC,$0.00,2023-07-18,C00074925,2,,,Highways & Public Works,IT System Development,Request for Proposals,Whitehorse,I,2025-26
Dawson Lagoon - Feasibility analysis of pumped hydro,STANTEC ARCHITECTURE LTD,$0.00,2024-02-08,C00075568,3,,,Community Services,Engineering Services,Value Driven,Dawson City,D,2025-26
Technical support for 2023 RCP and security costing,SLR CONSULTING (CANADA) LTD,"$4,400.00",2024-01-01,C00075043,1,,,Executive Council Office,Professional Services - others,Request for Proposals,Whitehorse,I,2025-26
Snow Removal,BENJAMIN SHORE O/A,$540.00,2024-01-04,C00075092,2,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Aviation Project Mgmt & Engineering Srvce,PARHELION ENGINEERING INC,$0.00,2024-01-14,C00075135,3,,,Highways & Public Works,Engineering Services,Price Driven,Whitehorse,D,2025-26
Technical Advisory Services,RFP SOLUTIONS INC,$0.00,2024-01-18,C00075216,3,,,Highways & Public Works,General consulting services,Price Driven,Other-Non Yukon,D,2025-26
Asset Management Consulting Services,NORDA STELO INC,$0.00,2023-11-30,C00075011,1,,SOA-RFP-2023-6-2711,Highways & Public Works,Professional Services - others,Standing Offer Agreement (RFP),Whitehorse,O,2025-26
Physician Services to Teslin,SARAH BISS PROFESSIONAL CORP,$385.35,2024-04-01,C00075444,2,,,Health & Social Services,Physician Services under ACT,Value Driven,Teslin,D,2025-26
Installation of Smoke Aspiration System,12094 YK INC O/A,$0.00,2023-12-17,C00075220,2,,,Highways & Public Works,Construction - building maintenance,Price Driven,Whitehorse,D,2025-26
marketing campaign.,KELLETT COMMUNICATIONS INC,$0.00,2024-02-05,C00075501,2,,,Health & Social Services,Professional Services - others,Request for Bids,Whitehorse,I,2025-26
Whistle Bend Phase 12/13 & Evelyn LS Electrical Upgrades,YUKON ELECTRICAL COMPANY,$0.00,2024-01-01,C00074954,1,,,Community Services,Construction - utilities / infrastructure new,Price Driven,Whitehorse,D,2025-26
Energy Efficient Archetypes Project,RDH BUILDING SCIENCE INC,$0.00,2024-02-18,C00075152,1,,,"Energy, Mines & Resources",General consulting services,Price Driven,Whitehorse,D,2025-26
Remote Monitoring and Water Treatment Control-Fraser,WILDSTONE CONSTRUCTION LTD,"$103,230.96",2024-01-09,C00075192,4,,,Highways & Public Works,Construction - building maintenance,Request for Bids,Whitehorse,O,2025-26
Teslin -Lone Tree - Project Closeout,ASSOCIATED ENGINEERING,$0.00,2023-10-03,C00073940,3,,,Community Services,Engineering Services,Value Driven,Teslin,D,2025-26
To Chair the Arctic Security Advisory Council,KEN COATES,"$2,151.15",2023-09-15,C00073612,3,,,Executive Council Office,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Physician Services to Carmacks.,MEGHAN KIZUIK MD PROFESSIONAL,"$27,300.48",2023-10-01,C00073653,2,,,Health & Social Services,Physician Services under ACT,Value Driven,Carmacks,D,2025-26
Support and Maintenance of YGs Data Center,HVACTECH SYSTEMS INC,$0.00,2023-10-01,C00073846,1,,,Highways & Public Works,Construction - building maintenance,Value Driven,Whitehorse,D,2025-26
Supply & Delivery of Portable Classroom Structures,PCR CONSTRUCTION LTD,"-$21,794.54",2024-07-09,C00078865,1,,,Highways & Public Works,Construction - building new,Request for Bids,Whitehorse,O,2025-26
Indoor Plant Maintenance at Bldg. #1259 and Bldg. #1262,DECORA INC O/A PLANTATION,"$5,000.00",2024-06-18,C00078309,1,,,Highways & Public Works,Landscaping,Price Driven,Whitehorse,D,2025-26
Produce and Stockpile Aggregate - File 147,KODE CONTRACTING LTD,"-$73,798.50",2024-07-02,C00078754,3,,,Highways & Public Works,Construction - road,Request for Bids,Other,O,2025-26
QC and Inspection for P&SA File 147,TETRA TECH CANADA INC,"$74,100.00",2024-06-14,C00078468,3,,TEB-SOA-001,Highways & Public Works,Construction - road,Standing Offer Agreement (RFP),Other,O,2025-26
Physician Services to Pelly Crossing,TIRSCHMANN & RHEIN PROF CORP,"$18,293.54",2024-09-01,C00078638,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Pelly Crossing,D,2025-26
Dispatch Project Support,DANIELLE & STEVE UNRUH O/A,$0.00,2024-07-12,C00078800,2,,,Environment,General consulting services,Price Driven,Whitehorse,D,2025-26
Signal Modifications,12094 YK INC O/A,$0.00,2024-07-30,C00078911,2,,NA,Highways & Public Works,Construction - road,Price Driven,Whitehorse,D,2025-26
PSA Survey - File 147,BRIMAR & ASSOCIATES SURVEY LTD,"$2,516.60",2024-06-11,C00078314,7,,,Highways & Public Works,Construction - road,Request for Bids,Other,I,2025-26
"SOA 3148-06 Tatchun, Teslin Boat Launches",WSP CANADA INC,"$12,165.00",2024-06-01,C00078281,1,,3148-06,Community Services,Engineering Services,Standing Offer Agreement (RFP),Other,O,2025-26
Project/Construction Mgmt Taxiway G & Chipmunk,838925 YUKON INC O/A,$0.00,2024-06-25,C00078394,1,,,Highways & Public Works,General consulting services,Price Driven,Whitehorse,D,2025-26
Phase 1A - Dawson Rec Centre Progressive Design Build,WILDSTONE CONSTRUCTION LTD,"$499,999.00",2024-07-04,C00078767,2,,,Community Services,Engineering Services,Request for Proposals,Dawson City,O,2025-26
PIA for OpenText 24/25,CENERA,$0.00,2024-07-22,C00078879,3,,,Justice,Professional Services - others,Price Driven,Other-Non Yukon,D,2025-26
Sewer Removal Services,ERIK GULSTAD,$0.00,2024-07-04,C00078653,1,,,Highways & Public Works,Waste management,Price Driven,Ross River,D,2025-26
IPV Coordinated Yukon Process,RUMSEY CONSULTING LTD,$0.00,2024-07-01,C00078400,1,,,Justice,Professional Services - others,Request for Proposals,Whitehorse,O,2025-26
Leadership coaching and meeting facilitation services,JENNIFER ENGLAND O/A SPARK,$0.00,2024-04-01,C00078519,1,,,Education,Education related services,Value Driven,Whitehorse,D,2025-26
Conrad intro panels,LEIGHANN CHALYKOFF,$0.00,2024-07-10,C00078771,1,,,Tourism And Culture,Graphic design services,Price Driven,Whitehorse,D,2025-26
Soil and Water Analyses,BUREAU VERITAS CANADA  2019,$0.00,2024-06-24,C00078328,1,,RSO-RFB-2024-3-3439,Environment,Environmental Services/ studies,Standing Offer Agreement (RFB),Whitehorse,O,2025-26
File Management - A.B. & C.D. v Yukon (21-A0024),OPEN TEXT CORPORATION,"$50,000.00",2024-07-15,C00078814,2,,,Justice,IT System Maintenance,Value Driven,Other-Non Yukon,D,2025-26
File Management - A.B. & C.D. v Yukon (21-A0024),OPEN TEXT CORPORATION,"$350,000.00",2024-07-15,C00078814,3,,,Justice,IT System Maintenance,Value Driven,Other-Non Yukon,D,2025-26
Physician services to Dawson City,CHRISTA NG MEDICINE,"$99,700.74",2024-07-17,C00078369,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Dawson City,D,2025-26
PIMS Apex Maintenance,TECHKNOW SOFTWARE CORP,"$13,800.00",2024-06-17,C00078332,1,,,"Energy, Mines & Resources",IT System Maintenance,Value Driven,Whitehorse,D,2025-26
Environmental Services,536027 YUKON INC O/A,$800.00,2024-07-10,C00078624,1,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Clinical Supervision,JANET WHITE O/A MAYA,"$172,804.00",2024-07-01,C00078304,1,,,Health & Social Services,Professional Services - others,Request for Bids,Whitehorse,O,2025-26
Watson Lake Locum Physician,MIAN MEDICAL PROFESSIONAL,"$345,995.14",2024-04-01,C00078904,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Watson Lake,D,2025-26
Professional Window Cleaning Services,GRAY MANAGEMENT SERVICES INC,"$21,750.00",2024-05-03,C00077500,1,,,Highways & Public Works,Custodial and related services,Request for Bids,Whitehorse,O,2025-26
NMRS/MLUIS Maintenance,TECHKNOW SOFTWARE CORP,"$20,000.00",2024-04-15,C00077141,1,,,"Energy, Mines & Resources",IT System Maintenance,Price Driven,Whitehorse,D,2025-26
Development of Wetland Reclamation Guide,EDI-ENVIRONMENTAL DYNAMICS INC,$0.00,2024-04-15,C00077145,2,,,"Energy, Mines & Resources",Professional Services - others,Value Driven,Whitehorse,D,2025-26
Constellation Clinic Physician Services,DR ANNE MARIE LEBLANC,"$6,720.00",2024-05-15,C00077278,3,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
YMAB Service and Support,OUTCROP COMMUNICATIONS LTD,"$21,750.00",2024-05-01,C00077360,1,,,"Energy, Mines & Resources",Professional Services - others,Value Driven,Whitehorse,D,2025-26
Project Budget Mgmt System Development/Support,TECHKNOW SOFTWARE CORP,$0.00,2024-04-01,C00077235,1,,,Highways & Public Works,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
InReach Device Services,INREACH CANADA,$0.00,2024-05-01,C00077441,1,,,Environment,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Design and Placement of Ads for Yukon Gazette,AASMAN BRAND COMMUNICATIONS,"$1,002.07",2024-04-17,C00077124,1,,,Highways & Public Works,Advertising,Price Driven,Whitehorse,D,2025-26
PIR system upgrades,TECHKNOW SOFTWARE CORP,"$4,200.00",2024-04-18,C00077155,2,,,Highways & Public Works,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
Travel Assistance for GBV Victims 24/25,COUNCIL OF YUKON FIRST,"$20,000.00",2024-05-01,C00077331,1,,,Justice,Professional Services - others,Price Driven,Whitehorse,D,2025-26
As needed fencing repairs/replacement at ENWIA,OLSON FENCING & CONTRACTING,$0.00,2024-05-03,C00077291,1,,,Highways & Public Works,Construction - utilities / infrastructure maintenance,Price Driven,Whitehorse,D,2025-26
Ramp Ice Melt System Design at Yukon Justice Centre,SETPLAN ENGINEERING LTD,"$4,150.00",2024-04-01,C00077409,2,,,Highways & Public Works,Engineering Services,Price Driven,Whitehorse,D,2025-26
Vehicle repair,IYON KECHIKA CONTRACTING LTD,$0.00,2024-04-09,C00076959,1,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Copy fees/service/maintenance,TLE'NAX T'AWEI INC O/A,$1.00,2024-04-01,C00077339,1,,,Highways & Public Works,Printing services,Price Driven,Whitehorse,D,2025-26
School maintenance and renovation,ALMAR CABARDO O/A FRED,"$10,000.00",2024-05-01,C00077414,4,,,Education,Construction - building maintenance,Price Driven,Whitehorse,D,2025-26
