Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Water Well System for Domestic Use,BRIAN MACDOUGALL O/A,"-$14,730.00",2009-05-11,SS09513024-58380,1,,,Community Services,Service Contracts - General,Value Driven,Marsh Lake,D,2010-11
To Install a Power Service ,YUKON ENERGY CORPORATION,-$786.13,2009-09-09,SS09513117-59457,1,,,Community Services,Service Contracts - General,Value Driven,Mayo,D,2010-11
"Acquire 1:20,000 Aerial Photography",AERO METRIC INC,"-$58,695.84",2007-06-01,SS07533072-52123,2,,,"Energy, Mines & Resources",Service Contracts - General,Price Driven,Whitehorse,P,2010-11
Design Work for Forest Management Branch,MARK CUNNINGHAM &,"-$3,032.60",2009-08-10,SS09533039-59143,4,,,"Energy, Mines & Resources",Service Contracts - General,Price Driven,Whitehorse,P,2010-11
Water Well System for Domestic Use,BRIAN MACDOUGALL O/A,"-$20,947.85",2009-05-11,SS09513026-58382,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
To Construct A Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$14,525.00",2009-09-08,SS09513113-59461,1,,,Community Services,Service Contracts - General,Value Driven,Haines Junction,D,2010-11
Garbage Dump Maintenance Carcross & Tagish,BRYAN BUCHANAN,"$3,029.00",2008-06-23,SS08513070-55700,7,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,P,2010-11
Conduct Job Audits & Chairing of Appeal Hearings,PAUL R VALENTINE,"-$2,774.77",2009-11-07,SS09103360-59928,1,,,Public Service Commission,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Rehabilitate a Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$9,230.50",2009-05-04,SS09513020-58328,1,,,Community Services,Service Contracts - General,Value Driven,Stewart Crossing,D,2010-11
Full Services Marketing Agency Services,BRYANT FULTON & SHEE,$0.00,2008-06-10,SS08543072-55729,1,,,Tourism And Culture,Service Contracts - General,Value Driven,Other-Non Yukon,P,2010-11
Enterprise Risk Management Consulting & Software,BISHOP PHILLIPS CONSULTING,"-$1,401.86",2009-11-26,SS09153188-59873,1,,,Health & Social Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Snow Clearing-Burwash & D-Bay Landfills,DENNIS DICKSON O/A,-$20.00,2009-10-15,SS09513190-59969,1,,,Community Services,Service Contracts - General,Value Driven,Burwash Landing,D,2010-11
Stage 1 Old Crow Roadworks & Drainage,YUKON ENGINEERING SERVICES INC,"$375,000.00",2009-12-16,SS09513193-59936,2,,,Community Services,Service Contracts - General,Value Driven,Old Crow,P,2010-11
2009 Yukon Vacation Planner Effectiveness Evaluatn,DATA PATH SYSTEMS,"$4,500.00",2010-02-24,SS09543148-60087,1,,,Tourism And Culture,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Install a Power Service for Domestic Use-Gentian L,YUKON ELECTRICAL COMPANY,"-$14,420.53",2009-11-26,SS09513183-59868,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Constr Water Well Syst for Domestic Use L 1147 GH,CATHWAY WATER RESOURCES LTD,"-$8,723.15",2008-04-11,SS08513022-54930,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Contruct a Water Well System for Domestic Use,BRIAN MACDOUGALL O/A,"-$9,700.00",2008-10-22,SS08513170-56799,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Community Access Program Coordination Services,OUTSIDE THE CUBE MANAGEMENT,-$583.79,2009-08-03,SS09079026-59313,1,,,Economic Development,Service Contracts - General,Value Driven,Whitehorse,P,2010-11
Engineering Consulting- CarX Water System Upgrades,DAYTON & KNIGHT LTD,$0.00,2009-12-15,SS09513194-59954,1,,,Community Services,Service Contracts - General,Value Driven,Carcross,P,2010-11
Collection Delivery Water Samples KenoCity & Rock ,GRANT LUNDY O/A,-$196.00,2008-08-13,SS08513117-56243,3,,,Community Services,Service Contracts - General,Price Driven,Other-Yukon,D,2010-11
Pick Up 12% Clorine fr Aqua Tech Del to Air North,10818 YUKON LTD O/A,-$147.00,2009-10-16,SS09513151-59658,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Snow Clearing of Landfills / Fire Stations Var Loc,12567 YUKON INC,"-$6,715.00",2009-10-15,SS09513187-59911,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
TO Install Power Service ,YUKON ELECTRIC,"-$1,864.61",2009-05-04,SS09513017-58326,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Install a Solar Based Electric System,DION BENOIT O\A,-$300.00,2009-07-06,SS09513063-58948,1,,,Community Services,Service Contracts - General,Value Driven,Whitehorse,D,2010-11
Install Power Service ,YUKON ELECTRICAL COMPANY,"-$6,299.46",2009-10-01,SS09513157-59684,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
Construct a Water Well System for Domestic Use,RON & LAURA TOEWS O/A,"-$4,150.00",2009-10-06,SS09513154-59660,1,,,Community Services,Service Contracts - General,Value Driven,Other-Yukon,D,2010-11
